Onset,Duration,Annotation
+2198.1830000,,spindle
+2200.6450000,,spindle
+2202.7050000,,spindle
+2204.3480000,,spindle
+2209.1170000,,spindle
+2212.2730000,,spindle
+2216.9780000,,spindle
+2219.9825000,,Markoff: 3
+2220.0328000,,Markon: 3
+2225.6630000,,spindle
+2227.0360000,,spindle
+2231.2510000,,spindle
+2235.1500000,,spindle
+2238.3150000,,spindle
+2248.4380000,,spindle
+2249.9497000,,Markoff: 3
+2250.0328000,,Markon: 3
+2252.3150000,,spindle
+2253.7830000,,spindle
+2262.6970000,,spindle
+2270.4750000,,spindle
+2279.9333000,,Markoff: 3
+2280.0328000,,Markon: 3
+2281.7990000,,spindle
+2288.8760000,,spindle
+2291.4350000,,spindle
+2292.7540000,,spindle
+2297.3190000,,spindle
+2302.5570000,,spindle
+2309.9169000,,Markoff: 3
+2310.0164000,,Markon: 3
+2318.7950000,,spindle
+2324.7360000,,spindle
+2329.7060000,,spindle
+2339.9661000,,Markoff: 3
+2340.0164000,,Markon: 3
+2356.4950000,,spindle
+2360.8440000,,spindle
+2366.2110000,,spindle
+2369.9661000,,Markoff: 3
+2370.0164000,,Markon: 3
+2376.8930000,,spindle
+2385.2760000,,spindle
+2389.2340000,,spindle
+2393.7430000,,spindle
+2399.9825000,,Markoff: 3
+2400.0820000,,Markon: 3
+2411.2000000,,spindle
+2417.0010000,,spindle
+2420.1380000,,spindle
+2424.0700000,,spindle
+2428.9980000,,spindle
+2429.9333000,,Markoff: 3
+2429.9680000,,spindle
+2430.0164000,,Markon: 3
+2433.9940000,,spindle
+2439.8090000,,spindle
+2442.9720000,,spindle
+2459.9497000,,Markoff: 3
+2460.0328000,,Markon: w
+2489.9661000,,Markoff: w
+2490.0164000,,Markon: w
+2519.8840000,,Markoff: w
+2520.0000000,,Markon: w
+2549.9825000,,Markoff: w
+2550.0492000,,Markon: w
+2579.9661000,,Markoff: w
+2580.0164000,,Markon: w
+2609.9169000,,Markoff: w
+2610.0328000,,Markon: w
+2639.9169000,,Markoff: w
+2640.0656000,,Markon: w
+2669.9333000,,Markoff: w
+2670.0820000,,Markon: w
+2699.9661000,,Markoff: w
+2700.0328000,,Markon: w
+2729.9497000,,Markoff: w
+2730.0492000,,Markon: w
+2759.9825000,,Markoff: w
+2760.0328000,,Markon: w
+2789.9661000,,Markoff: w
+2790.0492000,,Markon: w
+2819.9661000,,Markoff: w
+2820.0656000,,Markon: w
+2849.9497000,,Markoff: w
